MosaicID,Score,TitleType,TitleCategory,Name
20,2979,Social,Digital,Purchase First Home or Major Home Improvements
20,2332,Newspaper,Print,Purchase First Home or Major Home Improvements
20,2165,Online Media,Digital,Purchase First Home or Major Home Improvements
20,1900,Radio,Radio,Purchase First Home or Major Home Improvements
20,1432,Magazine,Print,Purchase First Home or Major Home Improvements
21,4214,TV,TV,(Dublin and Major Home Improvements) OR (Dublin and Purchase First Home)
21,2428,Out of Home,OOH,(Dublin and Major Home Improvements) OR (Dublin and Purchase First Home)
21,1073,Online Media,Digital,(Dublin and Major Home Improvements) OR (Dublin and Purchase First Home)
21,1059,Social,Digital,(Dublin and Major Home Improvements) OR (Dublin and Purchase First Home)
21,860,Newspaper,Print,(Dublin and Major Home Improvements) OR (Dublin and Purchase First Home)
21,820,Magazine,Print,(Dublin and Major Home Improvements) OR (Dublin and Purchase First Home)
21,526,Radio,Radio,(Dublin and Major Home Improvements) OR (Dublin and Purchase First Home)
22,6075,TV,TV,DID Electrical
22,2988,Out of Home,OOH,DID Electrical
22,1142,Social,Digital,DID Electrical
22,1089,Online Media,Digital,DID Electrical
22,1044,Newspaper,Print,DID Electrical
22,961,Radio,Radio,DID Electrical
22,960,Magazine,Print,DID Electrical
23,6843,TV,TV,All Adults 18-34 who have bought household appliances or electrical devices
23,3587,Out of Home,OOH,All Adults 18-34 who have bought household appliances or electrical devices
23,2702,Social,Digital,All Adults 18-34 who have bought household appliances or electrical devices
23,2256,Radio - Leinster,Radio,All Adults 18-34 who have bought household appliances or electrical devices
23,1686,Newspaper,Print,All Adults 18-34 who have bought household appliances or electrical devices
23,1630,Magazine,Print,All Adults 18-34 who have bought household appliances or electrical devices
23,1591,Radio - Munster,Radio,All Adults 18-34 who have bought household appliances or electrical devices
23,1417,Online Media,Digital,All Adults 18-34 who have bought household appliances or electrical devices
23,858,Radio,Radio,All Adults 18-34 who have bought household appliances or electrical devices
23,465,Radio - Connaught,Radio,All Adults 18-34 who have bought household appliances or electrical devices
23,329,Radio - Ulster,Radio,All Adults 18-34 who have bought household appliances or electrical devices
24,7889,TV,TV,Media Map
24,4216,Out of Home,OOH,Media Map
24,2361,Social,Digital,Media Map
24,1515,Radio - Leinster,Radio,Media Map
24,1369,Radio,Radio,Media Map
24,1193,Online Media,Digital,Media Map
24,1088,Newspaper,Print,Media Map
24,895,Radio - Munster,Radio,Media Map
24,630,Magazine,Print,Media Map
24,257,Radio - Connaught,Radio,Media Map
24,172,Radio - Ulster,Radio,Media Map
25,3777,TV,TV,Planning wedding in next 12 months or holiday or short stay for stag/hen/spa day
25,1905,Out of Home,OOH,Planning wedding in next 12 months or holiday or short stay for stag/hen/spa day
25,1242,Social,Digital,Planning wedding in next 12 months or holiday or short stay for stag/hen/spa day
25,1239,Radio - Leinster,Radio,Planning wedding in next 12 months or holiday or short stay for stag/hen/spa day
25,785,Newspaper,Print,Planning wedding in next 12 months or holiday or short stay for stag/hen/spa day
25,784,Radio - Munster,Radio,Planning wedding in next 12 months or holiday or short stay for stag/hen/spa day
25,652,Online Media,Digital,Planning wedding in next 12 months or holiday or short stay for stag/hen/spa day
25,602,Magazine,Print,Planning wedding in next 12 months or holiday or short stay for stag/hen/spa day
25,525,Radio,Radio,Planning wedding in next 12 months or holiday or short stay for stag/hen/spa day
25,244,Radio - Connaught,Radio,Planning wedding in next 12 months or holiday or short stay for stag/hen/spa day
25,166,Radio - Ulster,Radio,Planning wedding in next 12 months or holiday or short stay for stag/hen/spa day
27,6572,TV,TV,(Adults that planning wedding in next 12 months) OR (All Adults Holiday or short break - Spa Day or Stag/Hen) OR (All Adults short breaks with friends)
27,3089,Out of Home,OOH,(Adults that planning wedding in next 12 months) OR (All Adults Holiday or short break - Spa Day or Stag/Hen) OR (All Adults short breaks with friends)
27,1790,Social,Digital,(Adults that planning wedding in next 12 months) OR (All Adults Holiday or short break - Spa Day or Stag/Hen) OR (All Adults short breaks with friends)
27,1759,Radio - Leinster,Radio,(Adults that planning wedding in next 12 months) OR (All Adults Holiday or short break - Spa Day or Stag/Hen) OR (All Adults short breaks with friends)
27,1190,Newspaper,Print,(Adults that planning wedding in next 12 months) OR (All Adults Holiday or short break - Spa Day or Stag/Hen) OR (All Adults short breaks with friends)
27,1089,Radio - Munster,Radio,(Adults that planning wedding in next 12 months) OR (All Adults Holiday or short break - Spa Day or Stag/Hen) OR (All Adults short breaks with friends)
27,1034,Online Media,Digital,(Adults that planning wedding in next 12 months) OR (All Adults Holiday or short break - Spa Day or Stag/Hen) OR (All Adults short breaks with friends)
27,937,Radio,Radio,(Adults that planning wedding in next 12 months) OR (All Adults Holiday or short break - Spa Day or Stag/Hen) OR (All Adults short breaks with friends)
27,673,Magazine,Print,(Adults that planning wedding in next 12 months) OR (All Adults Holiday or short break - Spa Day or Stag/Hen) OR (All Adults short breaks with friends)
27,332,Radio - Connaught,Radio,(Adults that planning wedding in next 12 months) OR (All Adults Holiday or short break - Spa Day or Stag/Hen) OR (All Adults short breaks with friends)
27,239,Radio - Ulster,Radio,(Adults that planning wedding in next 12 months) OR (All Adults Holiday or short break - Spa Day or Stag/Hen) OR (All Adults short breaks with friends)
28,15544,TV,TV,(All Adults - Empty Nesters and New Home Buyers) OR (All Adults who buy small or large home appliances out of neccesity )
28,8221,Out of Home,OOH,(All Adults - Empty Nesters and New Home Buyers) OR (All Adults who buy small or large home appliances out of neccesity )
28,3284,Social,Digital,(All Adults - Empty Nesters and New Home Buyers) OR (All Adults who buy small or large home appliances out of neccesity )
28,2669,Radio - Leinster,Radio,(All Adults - Empty Nesters and New Home Buyers) OR (All Adults who buy small or large home appliances out of neccesity )
28,2523,Radio,Radio,(All Adults - Empty Nesters and New Home Buyers) OR (All Adults who buy small or large home appliances out of neccesity )
28,2264,Newspaper,Print,(All Adults - Empty Nesters and New Home Buyers) OR (All Adults who buy small or large home appliances out of neccesity )
28,2137,Online Media,Digital,(All Adults - Empty Nesters and New Home Buyers) OR (All Adults who buy small or large home appliances out of neccesity )
28,1757,Radio - Munster,Radio,(All Adults - Empty Nesters and New Home Buyers) OR (All Adults who buy small or large home appliances out of neccesity )
28,1333,Magazine,Print,(All Adults - Empty Nesters and New Home Buyers) OR (All Adults who buy small or large home appliances out of neccesity )
28,522,Radio - Connaught,Radio,(All Adults - Empty Nesters and New Home Buyers) OR (All Adults who buy small or large home appliances out of neccesity )
28,296,Radio - Ulster,Radio,(All Adults - Empty Nesters and New Home Buyers) OR (All Adults who buy small or large home appliances out of neccesity )
29,3072,TV,TV,All Adults 65+ Retired
29,2388,Out of Home,OOH,All Adults 65+ Retired
29,1027,Radio,Radio,All Adults 65+ Retired
29,262,Online Media,Digital,All Adults 65+ Retired
29,256,Newspaper,Print,All Adults 65+ Retired
29,170,Social,Digital,All Adults 65+ Retired
29,156,Radio - Leinster,Radio,All Adults 65+ Retired
29,137,Magazine,Print,All Adults 65+ Retired
29,72,Radio - Munster,Radio,All Adults 65+ Retired
29,22,Radio - Connaught,Radio,All Adults 65+ Retired
29,3,Radio - Ulster,Radio,All Adults 65+ Retired
30,5628,TV,TV,Tipperary Christmas
30,2382,Out of Home,OOH,Tipperary Christmas
30,1162,Social,Digital,Tipperary Christmas
30,925,Radio,Radio,Tipperary Christmas
30,596,Radio - Leinster,Radio,Tipperary Christmas
30,534,Online Media,Digital,Tipperary Christmas
30,483,Newspaper,Print,Tipperary Christmas
30,215,Magazine,Print,Tipperary Christmas
30,208,Radio - Munster,Radio,Tipperary Christmas
30,57,Radio - Connaught,Radio,Tipperary Christmas
30,21,Radio - Ulster,Radio,Tipperary Christmas
31,9625,TV,TV,All Adults - Empty Nesters and New Home Buyers
31,4580,Out of Home,OOH,All Adults - Empty Nesters and New Home Buyers
31,2005,Radio - Leinster,Radio,All Adults - Empty Nesters and New Home Buyers
31,1699,Social,Digital,All Adults - Empty Nesters and New Home Buyers
31,1620,Radio,Radio,All Adults - Empty Nesters and New Home Buyers
31,1615,Radio - Munster,Radio,All Adults - Empty Nesters and New Home Buyers
31,1516,Online Media,Digital,All Adults - Empty Nesters and New Home Buyers
31,1489,Newspaper,Print,All Adults - Empty Nesters and New Home Buyers
31,997,Magazine,Print,All Adults - Empty Nesters and New Home Buyers
31,513,Radio - Connaught,Radio,All Adults - Empty Nesters and New Home Buyers
31,317,Radio - Ulster,Radio,All Adults - Empty Nesters and New Home Buyers
32,16129,TV,TV,"(All Adults - Empty Nesters and New Home Buyers) OR (All Adults who buy home and household products out of necessity and for pleasure (change, novelty))"
32,8556,Out of Home,OOH,"(All Adults - Empty Nesters and New Home Buyers) OR (All Adults who buy home and household products out of necessity and for pleasure (change, novelty))"
32,3492,Social,Digital,"(All Adults - Empty Nesters and New Home Buyers) OR (All Adults who buy home and household products out of necessity and for pleasure (change, novelty))"
32,2763,Radio - Leinster,Radio,"(All Adults - Empty Nesters and New Home Buyers) OR (All Adults who buy home and household products out of necessity and for pleasure (change, novelty))"
32,2665,Radio,Radio,"(All Adults - Empty Nesters and New Home Buyers) OR (All Adults who buy home and household products out of necessity and for pleasure (change, novelty))"
32,2404,Newspaper,Print,"(All Adults - Empty Nesters and New Home Buyers) OR (All Adults who buy home and household products out of necessity and for pleasure (change, novelty))"
32,2271,Online Media,Digital,"(All Adults - Empty Nesters and New Home Buyers) OR (All Adults who buy home and household products out of necessity and for pleasure (change, novelty))"
32,1821,Radio - Munster,Radio,"(All Adults - Empty Nesters and New Home Buyers) OR (All Adults who buy home and household products out of necessity and for pleasure (change, novelty))"
32,1378,Magazine,Print,"(All Adults - Empty Nesters and New Home Buyers) OR (All Adults who buy home and household products out of necessity and for pleasure (change, novelty))"
32,527,Radio - Connaught,Radio,"(All Adults - Empty Nesters and New Home Buyers) OR (All Adults who buy home and household products out of necessity and for pleasure (change, novelty))"
32,309,Radio - Ulster,Radio,"(All Adults - Empty Nesters and New Home Buyers) OR (All Adults who buy home and household products out of necessity and for pleasure (change, novelty))"
35,1507,TV,TV,"(Female, parent, aged 30-44) AND (Urban)"
35,619,Social,Digital,"(Female, parent, aged 30-44) AND (Urban)"
35,594,Out of Home,OOH,"(Female, parent, aged 30-44) AND (Urban)"
35,483,Radio - Leinster,Radio,"(Female, parent, aged 30-44) AND (Urban)"
35,232,Radio,Radio,"(Female, parent, aged 30-44) AND (Urban)"
35,203,Newspaper,Print,"(Female, parent, aged 30-44) AND (Urban)"
35,184,Magazine,Print,"(Female, parent, aged 30-44) AND (Urban)"
35,143,Online Media,Digital,"(Female, parent, aged 30-44) AND (Urban)"
35,114,Radio - Munster,Radio,"(Female, parent, aged 30-44) AND (Urban)"
35,18,Radio - Connaught,Radio,"(Female, parent, aged 30-44) AND (Urban)"
35,12,Radio - Ulster,Radio,"(Female, parent, aged 30-44) AND (Urban)"
36,3995,TV,TV,EZ Living Furniture
36,1577,Out of Home,OOH,EZ Living Furniture
36,836,Radio - Leinster,Radio,EZ Living Furniture
36,714,Radio - Munster,Radio,EZ Living Furniture
36,572,Radio,Radio,EZ Living Furniture
36,567,Social,Digital,EZ Living Furniture
36,518,Online Media,Digital,EZ Living Furniture
36,465,Newspaper,Print,EZ Living Furniture
36,346,Magazine,Print,EZ Living Furniture
36,257,Radio - Connaught,Radio,EZ Living Furniture
36,150,Radio - Ulster,Radio,EZ Living Furniture
37,2735,TV,TV,"All Adults, Married, Kids aged 12+, 3rd Level Education +, ABC1"
37,1040,Out of Home,OOH,"All Adults, Married, Kids aged 12+, 3rd Level Education +, ABC1"
37,731,Radio,Radio,"All Adults, Married, Kids aged 12+, 3rd Level Education +, ABC1"
37,468,Social,Digital,"All Adults, Married, Kids aged 12+, 3rd Level Education +, ABC1"
37,328,Online Media,Digital,"All Adults, Married, Kids aged 12+, 3rd Level Education +, ABC1"
37,223,Radio - Leinster,Radio,"All Adults, Married, Kids aged 12+, 3rd Level Education +, ABC1"
37,151,Newspaper,Print,"All Adults, Married, Kids aged 12+, 3rd Level Education +, ABC1"
37,133,Radio - Munster,Radio,"All Adults, Married, Kids aged 12+, 3rd Level Education +, ABC1"
37,94,Magazine,Print,"All Adults, Married, Kids aged 12+, 3rd Level Education +, ABC1"
37,49,Radio - Connaught,Radio,"All Adults, Married, Kids aged 12+, 3rd Level Education +, ABC1"
37,29,Radio - Ulster,Radio,"All Adults, Married, Kids aged 12+, 3rd Level Education +, ABC1"
38,2253,TV,TV,"All Men, Married, Kids aged 12+, Education 3rd Level +, ABC1"
38,736,Out of Home,OOH,"All Men, Married, Kids aged 12+, Education 3rd Level +, ABC1"
38,500,Radio,Radio,"All Men, Married, Kids aged 12+, Education 3rd Level +, ABC1"
38,266,Social,Digital,"All Men, Married, Kids aged 12+, Education 3rd Level +, ABC1"
38,194,Online Media,Digital,"All Men, Married, Kids aged 12+, Education 3rd Level +, ABC1"
38,158,Radio - Leinster,Radio,"All Men, Married, Kids aged 12+, Education 3rd Level +, ABC1"
38,86,Radio - Munster,Radio,"All Men, Married, Kids aged 12+, Education 3rd Level +, ABC1"
38,80,Newspaper,Print,"All Men, Married, Kids aged 12+, Education 3rd Level +, ABC1"
38,72,Magazine,Print,"All Men, Married, Kids aged 12+, Education 3rd Level +, ABC1"
38,24,Radio - Ulster,Radio,"All Men, Married, Kids aged 12+, Education 3rd Level +, ABC1"
38,18,Radio - Connaught,Radio,"All Men, Married, Kids aged 12+, Education 3rd Level +, ABC1"
39,1033,TV,TV,"All adults, middle manager - director, located in Dublin"
39,769,Radio - Leinster,Radio,"All adults, middle manager - director, located in Dublin"
39,698,Out of Home,OOH,"All adults, middle manager - director, located in Dublin"
39,502,Radio - Munster,Radio,"All adults, middle manager - director, located in Dublin"
39,458,Magazine,Print,"All adults, middle manager - director, located in Dublin"
39,440,Online Media,Digital,"All adults, middle manager - director, located in Dublin"
39,404,Newspaper,Print,"All adults, middle manager - director, located in Dublin"
39,377,Social,Digital,"All adults, middle manager - director, located in Dublin"
39,209,Radio,Radio,"All adults, middle manager - director, located in Dublin"
39,168,Radio - Connaught,Radio,"All adults, middle manager - director, located in Dublin"
39,159,Radio - Ulster,Radio,"All adults, middle manager - director, located in Dublin"
40,7654,TV,TV,"All Women, 30-64"
40,2818,Out of Home,OOH,"All Women, 30-64"
40,2203,Social,Digital,"All Women, 30-64"
40,1310,Radio,Radio,"All Women, 30-64"
40,1004,Radio - Leinster,Radio,"All Women, 30-64"
40,824,Online Media,Digital,"All Women, 30-64"
40,796,Newspaper,Print,"All Women, 30-64"
40,463,Radio - Munster,Radio,"All Women, 30-64"
40,391,Magazine,Print,"All Women, 30-64"
40,112,Radio - Connaught,Radio,"All Women, 30-64"
40,51,Radio - Ulster,Radio,"All Women, 30-64"
41,3035,TV,TV,All Adults Director - Senior Executive 
41,1591,Out of Home,OOH,All Adults Director - Senior Executive 
41,859,Radio - Leinster,Radio,All Adults Director - Senior Executive 
41,847,Social,Digital,All Adults Director - Senior Executive 
41,729,Newspaper,Print,All Adults Director - Senior Executive 
41,614,Radio - Munster,Radio,All Adults Director - Senior Executive 
41,578,Online Media,Digital,All Adults Director - Senior Executive 
41,557,Radio,Radio,All Adults Director - Senior Executive 
41,474,Magazine,Print,All Adults Director - Senior Executive 
41,235,Radio - Connaught,Radio,All Adults Director - Senior Executive 
41,149,Radio - Ulster,Radio,All Adults Director - Senior Executive 
43,21157,Out of Home,OOH,"[""High status"", ""City dwellers"", ""Central locations"", ""Pursuing careers""]"
43,8391,Online Media,Digital,"[""High status"", ""City dwellers"", ""Central locations"", ""Pursuing careers""]"
43,6839,Social,Digital,"[""High status"", ""City dwellers"", ""Central locations"", ""Pursuing careers""]"
43,3430,TV,TV,"[""High status"", ""City dwellers"", ""Central locations"", ""Pursuing careers""]"
43,2489,Radio,Radio,"[""High status"", ""City dwellers"", ""Central locations"", ""Pursuing careers""]"
43,1855,National Newspaper,Print,"[""High status"", ""City dwellers"", ""Central locations"", ""Pursuing careers""]"
43,1181,VOD,TV,"[""High status"", ""City dwellers"", ""Central locations"", ""Pursuing careers""]"
43,17,Newspaper - Local,Print,"[""High status"", ""City dwellers"", ""Central locations"", ""Pursuing careers""]"
44,1961,Online Media,Digital,"[""Elderly"", ""Specialised accommodation"", ""Retirement homes and complexes""]"
44,1221,TV,TV,"[""Elderly"", ""Specialised accommodation"", ""Retirement homes and complexes""]"
44,754,Out of Home,OOH,"[""Elderly"", ""Specialised accommodation"", ""Retirement homes and complexes""]"
44,711,National Newspaper,Print,"[""Elderly"", ""Specialised accommodation"", ""Retirement homes and complexes""]"
44,550,Radio,Radio,"[""Elderly"", ""Specialised accommodation"", ""Retirement homes and complexes""]"
44,340,Social,Digital,"[""Elderly"", ""Specialised accommodation"", ""Retirement homes and complexes""]"
44,179,Newspaper - Local,Print,"[""Elderly"", ""Specialised accommodation"", ""Retirement homes and complexes""]"
44,98,VOD,TV,"[""Elderly"", ""Specialised accommodation"", ""Retirement homes and complexes""]"
45,2029,TV,TV,"[""Elderly singles"", ""Penny-wise"", ""Renting compact social homes""]"
45,1609,National Newspaper,Print,"[""Elderly singles"", ""Penny-wise"", ""Renting compact social homes""]"
45,1490,Out of Home,OOH,"[""Elderly singles"", ""Penny-wise"", ""Renting compact social homes""]"
45,1385,Radio,Radio,"[""Elderly singles"", ""Penny-wise"", ""Renting compact social homes""]"
45,1157,Online Media,Digital,"[""Elderly singles"", ""Penny-wise"", ""Renting compact social homes""]"
45,387,Social,Digital,"[""Elderly singles"", ""Penny-wise"", ""Renting compact social homes""]"
45,340,Newspaper - Local,Print,"[""Elderly singles"", ""Penny-wise"", ""Renting compact social homes""]"
45,206,VOD,TV,"[""Elderly singles"", ""Penny-wise"", ""Renting compact social homes""]"
46,1888,Online Media,Digital,"[""Ageing singles"", ""Basic income"", ""Renting small flats"", ""Centrally located developments""]"
46,1707,TV,TV,"[""Ageing singles"", ""Basic income"", ""Renting small flats"", ""Centrally located developments""]"
46,1051,Out of Home,OOH,"[""Ageing singles"", ""Basic income"", ""Renting small flats"", ""Centrally located developments""]"
46,887,Radio,Radio,"[""Ageing singles"", ""Basic income"", ""Renting small flats"", ""Centrally located developments""]"
46,653,Social,Digital,"[""Ageing singles"", ""Basic income"", ""Renting small flats"", ""Centrally located developments""]"
46,475,National Newspaper,Print,"[""Ageing singles"", ""Basic income"", ""Renting small flats"", ""Centrally located developments""]"
46,176,VOD,TV,"[""Ageing singles"", ""Basic income"", ""Renting small flats"", ""Centrally located developments""]"
46,47,Newspaper - Local,Print,"[""Ageing singles"", ""Basic income"", ""Renting small flats"", ""Centrally located developments""]"
47,6086,TV,TV,"[""Older social renters"", ""Low value homes"", ""Experienced at budgeting""]"
47,5144,Online Media,Digital,"[""Older social renters"", ""Low value homes"", ""Experienced at budgeting""]"
47,3707,Out of Home,OOH,"[""Older social renters"", ""Low value homes"", ""Experienced at budgeting""]"
47,2343,Social,Digital,"[""Older social renters"", ""Low value homes"", ""Experienced at budgeting""]"
47,1321,National Newspaper,Print,"[""Older social renters"", ""Low value homes"", ""Experienced at budgeting""]"
47,985,Radio,Radio,"[""Older social renters"", ""Low value homes"", ""Experienced at budgeting""]"
47,532,VOD,TV,"[""Older social renters"", ""Low value homes"", ""Experienced at budgeting""]"
47,299,Newspaper - Local,Print,"[""Older social renters"", ""Low value homes"", ""Experienced at budgeting""]"
48,4258,TV,TV,"[""Singles"", ""Renting small social flats"", ""Town centres""]"
48,3662,Online Media,Digital,"[""Singles"", ""Renting small social flats"", ""Town centres""]"
48,3513,Out of Home,OOH,"[""Singles"", ""Renting small social flats"", ""Town centres""]"
48,2484,Social,Digital,"[""Singles"", ""Renting small social flats"", ""Town centres""]"
48,1249,Radio,Radio,"[""Singles"", ""Renting small social flats"", ""Town centres""]"
48,908,Newspaper - Local,Print,"[""Singles"", ""Renting small social flats"", ""Town centres""]"
48,882,National Newspaper,Print,"[""Singles"", ""Renting small social flats"", ""Town centres""]"
48,733,VOD,TV,"[""Singles"", ""Renting small social flats"", ""Town centres""]"
49,3711,TV,TV,"[""Tenants of social flats"", ""High rise blocks"", ""Often living alone""]"
49,2799,Out of Home,OOH,"[""Tenants of social flats"", ""High rise blocks"", ""Often living alone""]"
49,930,Online Media,Digital,"[""Tenants of social flats"", ""High rise blocks"", ""Often living alone""]"
49,853,National Newspaper,Print,"[""Tenants of social flats"", ""High rise blocks"", ""Often living alone""]"
49,816,Social,Digital,"[""Tenants of social flats"", ""High rise blocks"", ""Often living alone""]"
49,795,Radio,Radio,"[""Tenants of social flats"", ""High rise blocks"", ""Often living alone""]"
49,78,VOD,TV,"[""Tenants of social flats"", ""High rise blocks"", ""Often living alone""]"
49,52,Newspaper - Local,Print,"[""Tenants of social flats"", ""High rise blocks"", ""Often living alone""]"
50,10674,Out of Home,OOH,"[""Renting social flats"", ""Busy city suburbs"", ""Multi-cultural areas""]"
50,3512,TV,TV,"[""Renting social flats"", ""Busy city suburbs"", ""Multi-cultural areas""]"
50,3140,Social,Digital,"[""Renting social flats"", ""Busy city suburbs"", ""Multi-cultural areas""]"
50,2841,Online Media,Digital,"[""Renting social flats"", ""Busy city suburbs"", ""Multi-cultural areas""]"
50,1284,Radio,Radio,"[""Renting social flats"", ""Busy city suburbs"", ""Multi-cultural areas""]"
50,618,National Newspaper,Print,"[""Renting social flats"", ""Busy city suburbs"", ""Multi-cultural areas""]"
50,587,VOD,TV,"[""Renting social flats"", ""Busy city suburbs"", ""Multi-cultural areas""]"
50,1,Newspaper - Local,Print,"[""Renting social flats"", ""Busy city suburbs"", ""Multi-cultural areas""]"
51,4070,Out of Home,OOH,Long-term renters of inner city social flats who have witnessed many changes.
51,2350,TV,TV,Long-term renters of inner city social flats who have witnessed many changes.
51,1762,Online Media,Digital,Long-term renters of inner city social flats who have witnessed many changes.
51,1124,Radio,Radio,Long-term renters of inner city social flats who have witnessed many changes.
51,800,Social,Digital,Long-term renters of inner city social flats who have witnessed many changes.
51,569,National Newspaper,Print,Long-term renters of inner city social flats who have witnessed many changes.
51,147,VOD,TV,Long-term renters of inner city social flats who have witnessed many changes.
51,4,Newspaper - Local,Print,Long-term renters of inner city social flats who have witnessed many changes.
52,6911,Out of Home,OOH,"[""Transient renters"", ""Low cost accommodation"", ""Older properties""]"
52,4872,TV,TV,"[""Transient renters"", ""Low cost accommodation"", ""Older properties""]"
52,4426,Online Media,Digital,"[""Transient renters"", ""Low cost accommodation"", ""Older properties""]"
52,3572,Social,Digital,"[""Transient renters"", ""Low cost accommodation"", ""Older properties""]"
52,1983,Radio,Radio,"[""Transient renters"", ""Low cost accommodation"", ""Older properties""]"
52,642,VOD,TV,"[""Transient renters"", ""Low cost accommodation"", ""Older properties""]"
52,629,National Newspaper,Print,"[""Transient renters"", ""Low cost accommodation"", ""Older properties""]"
52,49,Newspaper - Local,Print,"[""Transient renters"", ""Low cost accommodation"", ""Older properties""]"
53,5515,Out of Home,OOH,"[""Maturing singles"", ""Employed"", ""Renting affordable homes""]"
53,3617,Online Media,Digital,"[""Maturing singles"", ""Employed"", ""Renting affordable homes""]"
53,2731,Social,Digital,"[""Maturing singles"", ""Employed"", ""Renting affordable homes""]"
53,2256,TV,TV,"[""Maturing singles"", ""Employed"", ""Renting affordable homes""]"
53,913,Radio,Radio,"[""Maturing singles"", ""Employed"", ""Renting affordable homes""]"
53,481,VOD,TV,"[""Maturing singles"", ""Employed"", ""Renting affordable homes""]"
53,199,National Newspaper,Print,"[""Maturing singles"", ""Employed"", ""Renting affordable homes""]"
53,47,Newspaper - Local,Print,"[""Maturing singles"", ""Employed"", ""Renting affordable homes""]"
54,2233,TV,TV,"[""Young people"", ""Looking for employment"", ""renting cheap flats""]"
54,1706,Out of Home,OOH,"[""Young people"", ""Looking for employment"", ""renting cheap flats""]"
54,1516,Social,Digital,"[""Young people"", ""Looking for employment"", ""renting cheap flats""]"
54,1482,Online Media,Digital,"[""Young people"", ""Looking for employment"", ""renting cheap flats""]"
54,1112,Radio,Radio,"[""Young people"", ""Looking for employment"", ""renting cheap flats""]"
54,338,VOD,TV,"[""Young people"", ""Looking for employment"", ""renting cheap flats""]"
54,40,National Newspaper,Print,"[""Young people"", ""Looking for employment"", ""renting cheap flats""]"
54,4,Newspaper - Local,Print,"[""Young people"", ""Looking for employment"", ""renting cheap flats""]"
55,3931,Out of Home,OOH,"[""Younger singles and couples"", ""some with children"", ""Low value rented properties""]"
55,3651,Online Media,Digital,"[""Younger singles and couples"", ""some with children"", ""Low value rented properties""]"
55,3098,Social,Digital,"[""Younger singles and couples"", ""some with children"", ""Low value rented properties""]"
55,2078,TV,TV,"[""Younger singles and couples"", ""some with children"", ""Low value rented properties""]"
55,1928,Radio,Radio,"[""Younger singles and couples"", ""some with children"", ""Low value rented properties""]"
55,904,VOD,TV,"[""Younger singles and couples"", ""some with children"", ""Low value rented properties""]"
55,302,National Newspaper,Print,"[""Younger singles and couples"", ""some with children"", ""Low value rented properties""]"
55,16,Newspaper - Local,Print,"[""Younger singles and couples"", ""some with children"", ""Low value rented properties""]"
56,7915,Out of Home,OOH,"[""Families with children"", ""Low value social houses"", ""Limited resources""]"
56,5191,Online Media,Digital,"[""Families with children"", ""Low value social houses"", ""Limited resources""]"
56,4966,TV,TV,"[""Families with children"", ""Low value social houses"", ""Limited resources""]"
56,4564,Social,Digital,"[""Families with children"", ""Low value social houses"", ""Limited resources""]"
56,2058,Radio,Radio,"[""Families with children"", ""Low value social houses"", ""Limited resources""]"
56,976,VOD,TV,"[""Families with children"", ""Low value social houses"", ""Limited resources""]"
