SEC,CPU,GPU
114,0.0,132.1171875
117,0.0,132.1171875
117,0.0,132.1171875
120,0.0,132.1171875
120,1.0,132.1171875
123,0.0,132.1171875
123,0.0,132.1171875
126,0.0,132.1171875
126,0.0,132.1171875
129,0.0,132.1171875
129,0.0,132.1171875
132,0.0,132.1171875
132,0.0,132.1171875
135,0.0,132.1171875
135,0.0,132.1171875
138,0.0,132.1171875
138,0.0,132.1171875
141,0.0,132.1171875
141,0.0,132.1171875
144,0.0,132.1171875
144,0.0,132.1171875
147,0.0,132.1171875
147,0.0,132.1171875
150,0.0,132.1171875
150,0.0,132.1171875
153,0.0,132.1171875
153,0.0,132.1171875
156,0.0,132.1171875
156,0.0,132.1171875
159,0.0,132.1171875
159,0.0,132.1171875
162,0.0,132.1171875
162,0.0,132.1171875
165,0.0,132.1171875
165,0.0,132.1171875
168,0.0,132.1171875
168,0.0,132.1171875
171,0.0,132.1171875
171,0.0,132.1171875
174,0.0,132.1171875
174,0.0,132.1171875
177,0.0,132.1171875
177,0.0,132.1171875
180,0.0,132.1171875
180,0.0,132.1171875
183,0.0,132.1171875
183,0.0,132.1171875
186,0.0,132.1171875
186,0.0,132.1171875
189,0.0,132.1171875
189,0.0,132.1171875
192,0.0,132.1171875
192,0.0,132.1171875
195,0.0,132.1171875
195,0.0,132.1171875
198,0.0,132.1171875
198,0.0,132.1171875
201,0.0,132.1171875
201,0.0,132.1171875
204,0.0,132.1171875
204,0.0,132.1171875
207,1.0,132.1171875
207,1.0,132.1171875
210,0.0,132.1171875
210,0.0,132.1171875
213,0.0,132.1171875
213,0.0,132.1171875
216,0.0,132.1171875
216,0.0,132.1171875
219,0.0,132.1171875
219,0.0,132.1171875
222,0.0,132.1171875
222,0.0,132.1171875
225,0.0,132.1171875
225,0.0,132.1171875
228,0.0,132.1171875
228,0.0,132.1171875
231,0.0,132.1171875
231,0.0,132.1171875
234,0.0,132.1171875
234,0.0,132.1171875
237,0.0,132.1171875
237,0.0,132.1171875
240,0.0,132.1171875
240,0.0,132.1171875
243,0.0,132.1171875
243,0.0,132.1171875
246,0.0,132.1171875
246,0.0,132.1171875
249,0.0,132.1171875
249,0.0,132.1171875
252,0.0,132.1171875
252,0.0,132.1171875
255,0.0,132.1171875
255,0.0,132.1171875
258,0.0,132.1171875
258,0.0,132.1171875
261,0.0,132.1171875
261,0.0,132.1171875
264,0.0,132.1171875
264,0.0,132.1171875
267,0.0,132.1171875
267,0.0,132.1171875
270,0.0,132.1171875
270,0.0,132.1171875
273,0.0,132.1171875
273,0.0,132.1171875
276,0.0,132.1171875
276,0.0,132.1171875
279,0.0,132.1171875
279,0.0,132.1171875
282,0.0,132.1171875
282,0.0,132.1171875
285,0.0,132.17578125
285,0.0,132.17578125
288,0.0,132.17578125
288,0.0,132.17578125
291,0.0,132.17578125
291,0.0,132.17578125
294,0.0,132.17578125
294,0.0,132.17578125
297,0.0,132.17578125
297,0.0,132.17578125
300,0.0,132.44921875
300,0.0,132.44921875
303,0.0,132.44921875
303,0.0,132.44921875
306,0.0,132.44921875
306,0.0,132.44921875
309,0.0,132.54296875
309,0.0,132.54296875
312,0.0,132.54296875
312,0.0,132.54296875
315,0.0,132.54296875
315,0.0,132.54296875
318,0.0,132.54296875
318,0.0,132.54296875
321,1.0,132.54296875
321,1.0,132.54296875
324,0.0,132.54296875
324,0.0,132.54296875
327,0.0,132.54296875
327,1.0,132.54296875
330,0.0,132.54296875
330,0.0,132.54296875
333,0.0,132.54296875
333,0.0,132.54296875
336,0.0,132.54296875
336,0.0,132.54296875
339,0.0,132.54296875
339,0.0,132.54296875
342,0.0,132.54296875
342,0.0,132.54296875
345,1.0,132.54296875
345,1.0,132.54296875
348,0.0,132.54296875
348,0.0,132.54296875
351,0.0,132.54296875
351,0.0,132.54296875
354,0.0,132.54296875
354,0.0,132.54296875
357,0.0,132.54296875
357,0.0,132.54296875
360,0.0,132.54296875
360,0.0,132.54296875
363,0.0,132.54296875
363,0.0,132.54296875
366,0.0,132.54296875
366,0.0,132.54296875
369,0.0,132.54296875
369,0.0,132.54296875
372,0.0,132.54296875
372,0.0,132.54296875
375,0.0,132.54296875
375,0.0,132.54296875
378,1.0,132.54296875
378,1.0,132.54296875
381,0.0,132.54296875
381,0.0,132.54296875
384,1.0,132.54296875
384,1.0,132.54296875
387,0.0,132.54296875
387,0.0,132.54296875
390,1.0,132.54296875
390,0.0,132.54296875
393,0.0,132.54296875
393,0.0,132.54296875
396,1.0,132.54296875
396,1.0,132.54296875
399,0.0,132.54296875
399,0.0,132.54296875
402,1.0,132.54296875
402,1.0,132.54296875
405,0.0,132.54296875
405,0.0,132.54296875
408,0.0,132.54296875
408,1.0,132.54296875
411,0.0,132.54296875
411,0.0,132.54296875
414,0.0,132.54296875
414,0.0,132.54296875
417,0.0,132.54296875
417,0.0,132.54296875
420,0.0,132.54296875
420,1.0,132.54296875
423,0.0,132.54296875
423,0.0,132.54296875
426,1.0,132.54296875
426,1.0,132.54296875
429,0.0,132.54296875
429,0.0,132.54296875
432,1.0,132.54296875
432,1.0,132.54296875
435,0.0,132.54296875
435,0.0,132.54296875
438,1.0,132.54296875
438,0.0,132.54296875
441,0.0,132.54296875
441,0.0,132.54296875
444,0.0,132.54296875
444,0.0,132.54296875
447,0.0,132.54296875
447,0.0,132.54296875
450,0.0,132.54296875
450,0.0,132.54296875
453,0.0,132.54296875
453,0.0,132.54296875
456,0.0,132.54296875
456,0.0,132.54296875
459,0.0,132.54296875
459,0.0,132.54296875
462,1.0,132.54296875
462,1.0,132.54296875
465,0.0,132.54296875
465,0.0,132.54296875
468,1.0,132.54296875
468,1.0,132.54296875
471,0.0,132.54296875
471,0.0,132.54296875
474,0.0,132.54296875
474,0.0,132.54296875
477,0.0,132.54296875
477,0.0,132.54296875
480,0.0,132.54296875
480,1.0,132.54296875
483,0.0,132.54296875
483,0.0,132.54296875
486,0.0,132.54296875
486,0.0,132.54296875
489,0.0,132.54296875
489,0.0,132.54296875
492,1.0,132.54296875
492,1.0,132.54296875
495,0.0,132.54296875
495,0.0,132.54296875
498,0.0,132.54296875
498,0.0,132.54296875
501,0.0,132.54296875
501,0.0,132.54296875
504,0.0,132.54296875
504,0.0,132.54296875
507,0.0,132.54296875
507,0.0,132.54296875
510,0.0,132.54296875
510,0.0,132.54296875
513,0.0,132.54296875
513,0.0,132.54296875
516,1.0,132.54296875
516,1.0,132.54296875
519,0.0,132.54296875
519,0.0,132.54296875
522,0.0,132.54296875
522,0.0,132.54296875
525,1.0,132.54296875
525,0.0,132.54296875
528,0.0,132.54296875
528,0.0,132.54296875
531,1.0,132.54296875
531,1.0,132.54296875
534,0.0,132.54296875
534,0.0,132.54296875
537,0.0,132.54296875
537,0.0,132.54296875
540,0.0,132.54296875
540,0.0,132.54296875
543,0.0,132.54296875
543,0.0,132.54296875
546,0.0,132.54296875
546,0.0,132.54296875
549,0.0,132.54296875
549,0.0,132.54296875
552,0.0,132.54296875
552,0.0,132.54296875
555,0.0,132.54296875
555,0.0,132.54296875
558,0.0,132.54296875
558,0.0,132.54296875
561,1.0,132.54296875
561,1.0,132.54296875
564,0.0,132.54296875
564,0.0,132.54296875
567,0.0,132.54296875
567,0.0,132.54296875
570,0.0,132.54296875
570,0.0,132.54296875
573,0.0,132.54296875
573,0.0,132.54296875
576,0.0,132.54296875
576,0.0,132.54296875
579,0.0,132.54296875
579,0.0,132.54296875
582,0.0,132.54296875
582,0.0,132.54296875
585,0.0,132.54296875
585,0.0,132.54296875
588,1.0,132.54296875
588,1.0,132.54296875
591,0.0,132.54296875
591,0.0,132.54296875
594,0.0,132.54296875
594,0.0,132.54296875
597,0.0,132.54296875
597,0.0,132.54296875
600,0.0,132.54296875
600,0.0,132.54296875
603,0.0,132.54296875
603,0.0,132.54296875
606,0.0,132.54296875
606,0.0,132.54296875
609,0.0,132.54296875
609,0.0,132.54296875
612,0.0,132.54296875
612,0.0,132.54296875
615,1.0,132.54296875
615,1.0,132.54296875
618,0.0,132.54296875
618,0.0,132.54296875
621,0.0,132.54296875
621,0.0,132.54296875
624,1.0,132.54296875
624,1.0,132.54296875
627,1.0,132.54296875
627,1.0,132.54296875
630,0.0,132.54296875
630,0.0,132.54296875
633,0.0,132.54296875
633,0.0,132.54296875
636,0.0,132.54296875
636,0.0,132.54296875
639,0.0,132.54296875
639,0.0,132.54296875
642,0.0,132.54296875
642,0.0,132.54296875
645,1.0,132.54296875
645,0.0,132.54296875
648,0.0,132.54296875
648,0.0,132.54296875
651,0.0,132.54296875
651,0.0,132.54296875
654,0.0,132.9296875
654,0.0,132.9296875
657,0.0,132.9296875
657,0.0,132.9296875
660,0.0,132.9296875
660,0.0,132.9296875
663,0.0,132.9296875
663,0.0,132.9296875
666,0.0,132.9296875
666,0.0,132.9296875
669,0.0,132.9296875
669,0.0,132.9296875
672,0.0,132.9296875
672,0.0,132.9296875
675,0.0,132.9296875
675,0.0,132.9296875
678,0.0,132.9296875
678,0.0,132.9296875
681,0.0,132.9296875
681,0.0,132.9296875
684,0.0,132.9296875
684,0.0,132.9296875
687,0.0,132.9296875
687,0.0,132.9296875
690,0.0,132.9296875
690,0.0,132.9296875
693,0.0,132.9296875
693,0.0,132.9296875
696,0.0,132.9296875
696,0.0,132.9296875
699,0.0,132.9296875
699,0.0,132.9296875
702,0.0,132.9296875
702,1.0,132.9296875
705,1.0,132.9296875
705,1.0,132.9296875
708,0.0,132.9296875
708,0.0,132.9296875
711,1.0,132.9296875
711,1.0,132.9296875
714,0.0,132.9296875
714,0.0,132.9296875
717,0.0,132.9296875
717,0.0,132.9296875
720,0.0,132.9296875
720,0.0,132.9296875
723,0.0,132.9296875
723,0.0,132.9296875
726,0.0,132.9296875
726,0.0,132.9296875
729,0.0,132.9296875
729,0.0,132.9296875
732,0.0,132.9296875
732,0.0,132.9296875
735,0.0,132.9296875
735,0.0,132.9296875
738,0.0,132.9296875
738,0.0,132.9296875
741,1.0,132.9296875
741,1.0,132.9296875
744,0.0,132.9296875
744,0.0,132.9296875
747,0.0,132.9296875
747,1.0,132.9296875
750,0.0,132.9296875
750,0.0,132.9296875
753,0.0,132.9296875
753,0.0,132.9296875
756,0.0,132.9296875
756,0.0,132.9296875
759,0.0,132.9296875
759,0.0,132.9296875
762,0.0,132.9296875
762,0.0,132.9296875
765,0.0,132.9296875
765,0.0,132.9296875
768,0.0,132.9296875
768,0.0,132.9296875
771,0.0,132.9296875
771,0.0,132.9296875
774,0.0,132.9296875
774,0.0,132.9296875
777,0.0,132.9296875
777,0.0,132.9296875
780,0.0,132.9296875
780,0.0,132.9296875
783,0.0,132.9296875
783,0.0,132.9296875
786,1.0,132.9296875
786,0.0,132.9296875
789,0.0,132.9296875
789,0.0,132.9296875
792,0.0,132.9296875
792,0.0,132.9296875
795,0.0,132.9296875
795,0.0,132.9296875
798,0.0,132.9296875
798,0.0,132.9296875
801,0.0,132.9296875
801,0.0,132.9296875
804,1.0,132.9296875
804,1.0,132.9296875
807,0.0,132.9296875
807,0.0,132.9296875
810,0.0,132.9296875
810,0.0,132.9296875
813,0.0,132.9296875
813,0.0,132.9296875
816,1.0,132.9296875
816,1.0,132.9296875
819,0.0,132.9296875
819,0.0,132.9296875
822,0.0,132.9296875
822,0.0,132.9296875
825,0.0,132.9296875
825,0.0,132.9296875
828,0.0,132.9296875
828,0.0,132.9296875
831,0.0,132.9296875
831,0.0,132.9296875
834,0.0,132.9296875
834,0.0,132.9296875
837,0.0,132.9296875
837,0.0,132.9296875
840,0.0,132.9296875
840,0.0,132.9296875
843,0.0,132.9296875
843,0.0,132.9296875
846,0.0,132.9296875
846,0.0,132.9296875
849,0.0,132.9296875
849,0.0,132.9296875
852,0.0,132.9296875
852,0.0,132.9296875
855,0.0,132.9296875
855,0.0,132.9296875
858,0.0,132.9296875
858,0.0,132.9296875
861,0.0,132.9296875
861,0.0,132.9296875
864,0.0,132.9296875
864,0.0,132.9296875
867,0.0,132.9296875
867,0.0,132.9296875
870,0.0,132.9296875
870,0.0,132.9296875
873,0.0,132.9296875
873,0.0,132.9296875
876,0.0,132.9296875
876,1.0,132.9296875
879,0.0,132.9296875
879,0.0,132.9296875
882,0.0,132.9296875
882,1.0,132.9296875
885,0.0,132.9296875
885,0.0,132.9296875
888,1.0,132.9296875
888,1.0,132.9296875
891,0.0,132.9296875
891,0.0,132.9296875
894,1.0,132.9296875
894,1.0,132.9296875
897,0.0,132.9296875
897,0.0,132.9296875
900,0.0,132.9296875
900,0.0,132.9296875
903,0.0,132.9296875
903,0.0,132.9296875
906,1.0,132.9296875
906,0.0,132.9296875
909,0.0,132.9296875
909,0.0,132.9296875
912,1.0,132.9296875
912,1.0,132.9296875
915,0.0,132.9296875
915,0.0,132.9296875
918,0.0,132.9296875
918,0.0,132.9296875
921,0.0,132.9296875
921,0.0,132.9296875
924,0.0,132.9296875
924,0.0,132.9296875
927,0.0,132.9296875
927,0.0,132.9296875
930,0.0,132.9296875
930,1.0,132.9296875
933,0.0,132.9296875
933,0.0,132.9296875
936,0.0,132.9296875
936,0.0,132.9296875
939,0.0,132.9296875
939,0.0,132.9296875
942,0.0,132.9296875
942,0.0,132.9296875
945,0.0,132.9296875
945,0.0,132.9296875
948,0.0,132.9296875
948,0.0,132.9296875
951,0.0,132.9296875
951,0.0,132.9296875
954,0.0,132.9296875
954,0.0,132.9296875
957,0.0,132.9296875
957,0.0,132.9296875
960,0.0,132.9296875
960,0.0,132.9296875
963,0.0,132.9296875
963,0.0,132.9296875
966,0.0,132.9296875
966,0.0,132.9296875
969,0.0,132.9296875
969,0.0,132.9296875
972,0.0,132.9296875
972,0.0,132.9296875
975,0.0,132.9296875
975,0.0,132.9296875
978,0.0,132.9296875
978,0.0,132.9296875
981,0.0,132.9296875
981,0.0,132.9296875
984,0.0,132.9296875
984,0.0,132.9296875
987,0.0,132.9296875
987,0.0,132.9296875
990,1.0,132.9296875
990,1.0,132.9296875
993,0.0,132.9296875
993,0.0,132.9296875
996,1.0,132.9296875
996,1.0,132.9296875
999,0.0,132.9296875
999,0.0,132.9296875
1002,1.0,132.9296875
1002,1.0,132.9296875
1005,0.0,132.9296875
1005,0.0,132.9296875
1008,1.0,132.9296875
1008,1.0,132.9296875
1011,0.0,132.9296875
1011,0.0,132.9296875
1014,0.0,132.9296875
1014,0.0,132.9296875
1017,0.0,132.9296875
1017,0.0,132.9296875
1020,0.0,132.9296875
1020,0.0,132.9296875
1023,0.0,132.9296875
1023,0.0,132.9296875
1026,0.0,132.9296875
1026,0.0,132.9296875
1029,0.0,132.9296875
1029,0.0,132.9296875
1032,0.0,132.9296875
1032,0.0,132.9296875
1035,0.0,132.9296875
1035,0.0,132.9296875
1038,0.0,132.9296875
1038,0.0,132.9296875
1041,0.0,132.9296875
1041,0.0,132.9296875
2024-07-25 16:34:45.464499
2024-07-25 16:34:45.464505
0,8.0,122.0
0,9.0,127.9609375
3,0.0,122.0
3,0.0,127.9609375
6,0.0,122.0
6,0.0,127.9609375
9,0.0,127.9609375
9,0.0,122.0
12,0.0,127.9609375
12,0.0,122.0
15,0.0,127.9609375
15,0.0,122.0
18,0.0,127.9609375
18,0.0,122.0
21,0.0,127.9609375
21,0.0,122.0
24,0.0,127.9609375
24,0.0,122.0
27,0.0,122.0
27,0.0,127.9609375
30,0.0,122.0
30,0.0,127.9609375
33,0.0,122.0
33,0.0,127.9609375
36,0.0,128.1640625
36,0.0,122.0
39,0.0,122.0
39,0.0,128.1640625
42,0.0,122.0
42,0.0,128.1640625
45,0.0,122.0
45,1.0,128.1640625
48,1.0,122.0
48,0.0,128.1640625
51,0.0,122.0
51,0.0,128.1640625
54,0.0,122.0
54,0.0,128.1640625
57,0.0,122.0
57,0.0,128.1640625
60,0.0,128.1640625
60,0.0,122.0
63,0.0,128.1640625
63,0.0,122.0
66,0.0,128.1640625
66,0.0,122.0
69,0.0,128.1640625
69,0.0,122.0
72,0.0,128.1640625
72,0.0,122.0
75,0.0,128.1640625
75,0.0,122.0
78,0.0,128.1640625
78,0.0,122.0
81,0.0,128.1640625
81,0.0,122.0
84,0.0,128.1640625
84,0.0,122.0
87,0.0,128.1640625
87,0.0,122.0
90,0.0,128.1640625
90,0.0,122.0
93,0.0,128.1640625
93,0.0,122.0
96,0.0,128.1640625
96,0.0,122.0
99,0.0,128.1640625
99,0.0,122.0
102,0.0,128.1640625
102,0.0,122.0
105,0.0,128.1640625
105,0.0,122.0
108,0.0,122.0
108,0.0,128.1640625
111,0.0,122.0
111,0.0,128.1640625
114,0.0,122.0
114,0.0,128.1640625
117,0.0,122.0
117,0.0,128.1640625
120,0.0,122.0
120,0.0,128.1640625
123,0.0,122.0
123,0.0,128.1640625
126,0.0,122.0
126,0.0,128.1640625
129,0.0,122.0
129,0.0,128.1640625
132,0.0,122.0
132,0.0,128.1640625
135,0.0,128.1640625
135,0.0,122.0
138,0.0,122.0
138,0.0,128.1640625
141,0.0,122.0
141,0.0,128.1640625
144,1.0,122.0
144,0.0,128.1640625
147,0.0,128.1640625
147,0.0,122.0
150,0.0,128.1640625
150,0.0,122.0
153,0.0,122.0
153,0.0,128.1640625
156,0.0,122.0
156,0.0,128.1640625
159,0.0,122.0
159,0.0,128.1640625
162,0.0,122.0
162,0.0,128.1640625
165,0.0,122.0
165,0.0,128.1640625
168,0.0,122.0
168,0.0,128.1640625
171,0.0,122.0
171,0.0,128.1640625
174,0.0,128.1640625
174,0.0,122.0
177,0.0,128.1640625
177,0.0,122.0
180,0.0,122.0
180,0.0,128.1640625
183,0.0,122.0
183,0.0,128.1640625
186,0.0,122.0
186,0.0,128.1640625
189,0.0,122.0
189,0.0,128.1640625
192,0.0,128.1640625
192,0.0,122.0
195,0.0,128.1640625
195,0.0,122.0
198,0.0,122.2109375
198,0.0,128.1640625
201,0.0,122.2109375
201,0.0,128.1640625
204,0.0,122.2109375
204,0.0,128.1640625
207,0.0,122.2109375
207,0.0,128.1640625
210,0.0,128.1640625
210,0.0,122.2109375
213,0.0,128.1640625
213,0.0,122.2109375
216,0.0,128.1640625
216,0.0,122.2109375
219,0.0,128.1640625
219,0.0,122.2109375
222,0.0,122.2109375
222,0.0,128.1640625
225,0.0,122.2109375
225,0.0,128.1640625
228,0.0,122.2109375
228,0.0,128.1640625
231,0.0,122.2109375
231,0.0,128.1640625
234,0.0,122.2109375
234,0.0,128.1640625
237,0.0,122.2109375
237,0.0,128.1640625
240,0.0,128.1640625
240,0.0,122.2109375
243,0.0,128.1640625
243,0.0,122.2109375
246,0.0,128.1640625
246,0.0,122.2109375
249,0.0,128.1640625
249,0.0,122.2109375
252,0.0,128.1640625
252,0.0,122.2109375
255,0.0,128.1640625
255,0.0,122.2109375
258,0.0,128.1640625
258,0.0,122.2109375
261,0.0,128.1640625
261,0.0,122.2109375
264,0.0,128.1640625
264,0.0,122.2109375
267,0.0,128.1640625
267,0.0,122.2109375
270,0.0,128.1640625
270,0.0,122.2109375
273,0.0,128.1640625
273,0.0,122.2109375
276,0.0,122.2109375
276,0.0,128.1640625
279,0.0,122.2109375
279,0.0,128.1640625
282,0.0,122.2109375
282,0.0,128.1640625
285,0.0,122.2109375
285,0.0,128.1640625
288,0.0,122.2109375
288,0.0,128.1640625
291,0.0,128.1640625
291,0.0,122.2109375
294,0.0,122.2109375
294,0.0,128.1640625
297,0.0,122.2109375
297,0.0,128.1640625
300,0.0,122.2109375
300,0.0,128.1640625
303,0.0,122.2109375
303,0.0,128.1640625
306,0.0,122.2109375
306,0.0,128.1640625
309,0.0,122.2109375
309,0.0,128.1640625
312,0.0,122.2109375
312,0.0,128.1640625
315,0.0,122.2109375
315,0.0,128.1640625
318,0.0,122.2109375
318,0.0,128.1640625
321,0.0,122.2109375
321,0.0,128.1640625
324,0.0,122.2109375
324,0.0,128.1640625
327,0.0,122.2109375
327,0.0,128.1640625
330,0.0,122.2109375
330,0.0,128.1640625
333,0.0,122.2109375
333,0.0,128.1640625
336,0.0,122.2109375
336,0.0,128.1640625
339,0.0,122.2109375
339,0.0,128.1640625
342,0.0,128.1640625
342,0.0,122.2109375
345,0.0,128.1640625
345,0.0,122.2109375
348,0.0,128.1640625
348,0.0,122.2109375
351,0.0,122.2109375
351,0.0,128.1640625
354,0.0,128.1640625
354,1.0,122.2109375
357,0.0,128.1640625
357,0.0,122.2109375
360,0.0,128.1640625
360,0.0,122.2109375
363,0.0,128.1640625
363,0.0,122.2109375
366,0.0,122.2109375
366,0.0,128.1640625
369,0.0,122.2109375
369,0.0,128.1640625
372,0.0,122.2109375
372,0.0,128.1640625
375,0.0,122.2109375
375,0.0,128.1640625
378,0.0,128.1640625
378,0.0,122.2109375
381,0.0,128.1640625
381,0.0,122.2109375
384,0.0,122.2109375
384,0.0,128.1640625
387,0.0,128.1640625
387,0.0,122.2109375
390,0.0,122.2109375
390,0.0,128.1640625
393,0.0,122.2109375
393,0.0,128.1640625
396,0.0,128.1640625
396,0.0,122.2109375
399,0.0,122.2109375
399,0.0,128.1640625
402,0.0,128.1640625
402,0.0,122.2109375
405,0.0,122.2109375
405,0.0,128.1640625
408,0.0,128.1640625
408,0.0,122.2109375
411,0.0,122.2109375
411,0.0,128.1640625
414,0.0,122.2109375
414,0.0,128.1640625
417,0.0,128.1640625
417,0.0,122.2109375
420,0.0,128.1640625
420,0.0,122.2109375
423,0.0,122.2109375
423,0.0,128.1640625
426,0.0,122.2109375
426,0.0,128.1640625
429,0.0,122.2109375
429,0.0,128.1640625
2024-07-25 16:50:11.388196
2024-07-25 16:50:11.389900
0,7.0,120.203125
0,7.0,130.1875
3,0.0,120.203125
3,0.0,130.1875
6,0.0,120.203125
6,0.0,130.1875
9,0.0,120.203125
9,0.0,144.28125
12,0.0,120.203125
12,0.0,144.28125
15,0.0,120.203125
15,0.0,144.28125
18,0.0,120.203125
18,0.0,144.28125
21,0.0,144.28125
21,0.0,120.203125
24,0.0,120.203125
24,0.0,144.28125
27,0.0,120.203125
27,0.0,144.28125
30,0.0,144.28125
30,0.0,120.203125
33,0.0,144.28125
33,0.0,120.203125
36,0.0,120.203125
36,0.0,144.28125
2024-07-25 17:30:13.277176
2024-07-25 17:30:13.305500
0,7.0,134.61328125
0,7.0,138.609375
3,0.0,134.61328125
3,0.0,138.609375
6,0.0,134.61328125
6,0.0,138.609375
9,0.0,134.61328125
9,0.0,138.609375
12,0.0,134.61328125
12,0.0,138.609375
15,0.0,134.61328125
15,0.0,138.609375
18,0.0,134.61328125
18,0.0,138.609375
21,0.0,134.61328125
21,0.0,138.609375
24,0.0,134.61328125
24,0.0,139.94140625
27,0.0,134.61328125
27,0.0,152.8828125
30,0.0,134.61328125
30,1.0,152.8828125
33,0.0,134.61328125
33,0.0,152.8828125
36,0.0,134.61328125
36,0.0,152.8828125
39,0.0,134.61328125
39,0.0,152.8828125
42,0.0,134.61328125
42,0.0,152.8828125
45,0.0,134.61328125
45,0.0,152.8828125
48,0.0,134.61328125
48,0.0,152.8828125
51,0.0,134.61328125
51,0.0,152.8828125
54,0.0,134.61328125
54,0.0,152.8828125
57,0.0,134.61328125
57,0.0,152.8828125
60,0.0,134.61328125
60,0.0,152.8828125
63,0.0,134.61328125
63,0.0,152.8828125
66,0.0,134.61328125
66,0.0,152.8828125
69,0.0,134.61328125
69,0.0,152.8828125
72,0.0,134.61328125
72,0.0,152.8828125
75,0.0,134.61328125
75,0.0,152.8828125
78,0.0,134.61328125
78,0.0,152.8828125
81,0.0,134.61328125
81,0.0,152.8828125
84,0.0,134.61328125
84,0.0,152.8828125
87,0.0,134.61328125
87,0.0,152.8828125
90,0.0,134.61328125
90,0.0,152.8828125
93,0.0,134.61328125
93,0.0,152.8828125
96,0.0,134.61328125
96,0.0,152.8828125
99,0.0,134.61328125
99,0.0,152.8828125
102,0.0,134.61328125
102,0.0,152.8828125
105,0.0,134.61328125
105,0.0,152.8828125
108,0.0,134.61328125
108,0.0,152.8828125
111,0.0,134.61328125
111,0.0,152.8828125
114,0.0,134.61328125
114,0.0,152.8828125
117,0.0,134.61328125
117,0.0,152.8828125
2024-07-25 17:33:07.068967
2024-07-25 17:33:07.069058
0,8.0,133.78125
0,9.0,131.88671875
3,0.0,131.88671875
3,0.0,133.78125
6,12.0,146.11328125
6,0.0,133.78125
9,0.0,133.78125
9,0.0,146.11328125
12,0.0,146.11328125
12,0.0,133.78125
15,0.0,146.11328125
15,0.0,133.78125
18,0.0,146.11328125
18,0.0,133.78125
21,0.0,146.11328125
21,0.0,133.78125
24,0.0,133.78125
24,0.0,146.11328125
27,0.0,146.11328125
27,0.0,133.78125
30,0.0,146.11328125
30,0.0,133.78125
33,0.0,146.11328125
33,0.0,133.78125
36,0.0,146.11328125
36,0.0,133.78125
39,0.0,133.78125
39,0.0,146.11328125
42,0.0,146.11328125
42,0.0,133.78125
45,0.0,146.11328125
45,0.0,133.78125
48,0.0,133.78125
48,0.0,146.11328125
51,1.0,146.11328125
51,0.0,133.78125
54,0.0,146.11328125
54,0.0,133.78125
57,0.0,133.78125
57,0.0,146.11328125
60,0.0,146.11328125
60,0.0,133.78125
63,0.0,146.11328125
63,0.0,133.78125
66,0.0,146.11328125
66,0.0,133.78125
2024-07-25 17:34:46.334971
2024-07-25 17:34:46.335149
0,10.0,124.76171875
0,10.0,118.72265625
